id,name_vi,name_en,discount,carbohydrates,protein,cholesterol,sodium,fiber,description_vi,description_en,availability,rating,ingredients_vi,ingredients_en,unit_vi,unit_en,regional_vi,regional_en,isFood,isDeleted,categoryId,createdAt,updatedAt,images
11,Bánh Khọt,Banh Khot,0,32,8,20,400,2,"Bánh khọt vàng giòn, nhân tôm, ăn kèm rau sống và nước mắm chua ngọt.","Crispy Banh Khot with shrimp filling, served with fresh vegetables and sweet-sour fish sauce.",in stock,5.0,"['bột gạo', 'tôm', 'nước mắm', 'rau sống', 'dầu ăn', 'hành lá']","['rice flour', 'shrimp', 'fish sauce', 'fresh vegetables', 'cooking oil', 'scallions']",Đĩa,Plate,Vũng Tàu,Vung Tau,1,0,1,2024-10-06 17:25:50,,[]
12,Bánh Mì,Banh Mi,0,40,12,25,600,3,"Bánh mì Việt Nam giòn rụm, nhân pate, thịt, rau sống, và sốt mayonnaise.","Vietnamese baguette with pate, cold cuts, vegetables, and mayonnaise.",in stock,5.0,"['bánh mì', 'pate', 'thịt nguội', 'dưa leo', 'rau mùi', 'sốt mayonnaise']","['baguette', 'pate', 'cold cuts', 'cucumber', 'cilantro', 'mayonnaise']",Ổ,Loaf,"Hà Nội, Sài Gòn","Hanoi, Saigon",1,0,1,2024-10-06 17:25:50,,[]
13,Bánh Pía,Banh Pia,0,55,7,50,200,1,"Bánh pía thơm ngon với nhân đậu xanh, sầu riêng và trứng muối.","Delicious Banh Pia with mung bean, durian, and salted egg yolk filling.",in stock,5.0,"['bột mì', 'đậu xanh', 'sầu riêng', 'trứng muối', 'đường', 'mỡ lợn']","['flour', 'mung beans', 'durian', 'salted egg yolk', 'sugar', 'lard']",Cái,Piece,Sóc Trăng,Soc Trang,1,0,1,2024-10-06 17:25:50,,[]
14,Bánh Tét,Banh Tet,0,80,12,15,300,4,"Bánh tét truyền thống với nhân đậu xanh và thịt ba chỉ, gói trong lá chuối.","Traditional Banh Tet with mung bean and pork belly filling, wrapped in banana leaves.",in stock,5.0,"['gạo nếp', 'đậu xanh', 'thịt ba chỉ', 'lá chuối', 'muối']","['sticky rice', 'mung beans', 'pork belly', 'banana leaves', 'salt']",Đòn,Log,Nam Bộ,Southern Vietnam,1,0,1,2024-10-06 17:25:50,,[]
15,Bánh Tráng Nướng,Banh Trang Nuong,0,35,8,30,450,2,"Bánh tráng nướng giòn rụm với trứng, thịt băm và hành lá.","Crispy grilled rice paper with egg, minced meat, and scallions.",in stock,5.0,"['bánh tráng', 'trứng gà', 'thịt băm', 'hành lá', 'tương ớt']","['rice paper', 'egg', 'minced meat', 'scallions', 'chili sauce']",Cái,Piece,Đà Lạt,Dalat,1,0,1,2024-10-06 17:25:50,,[]
16,Bánh Xèo,Banh Xeo,0,40,10,40,500,3,"Bánh xèo vàng giòn, nhân tôm thịt, ăn kèm với rau sống và nước mắm.","Crispy Banh Xeo with shrimp and pork filling, served with fresh vegetables and fish sauce.",in stock,5.0,"['bột gạo', 'tôm', 'thịt heo', 'giá đỗ', 'rau sống', 'nước mắm']","['rice flour', 'shrimp', 'pork', 'bean sprouts', 'fresh vegetables', 'fish sauce']",Cái,Piece,Miền Tây,Mekong Delta,1,0,1,2024-10-06 17:25:50,,[]
17,Bánh Bò,Banh Bo,0,38,4,0,150,1,"Bánh bò xốp mềm, vị ngọt dịu, thơm hương dừa.",Soft and spongy Banh Bo with a mild sweetness and coconut aroma.,in stock,5.0,"['bột gạo', 'nước cốt dừa', 'đường', 'men nở']","['rice flour', 'coconut milk', 'sugar', 'yeast']",Cái,Piece,Nam Bộ,Southern Vietnam,1,0,1,2024-10-06 17:25:50,,[]
18,Bánh Cống,Banh Cong,0,45,8,30,400,2,"Bánh cống giòn rụm với nhân đậu xanh, tôm và thịt băm, ăn kèm rau sống.","Crispy Banh Cong with mung bean, shrimp, minced pork filling, served with fresh vegetables.",in stock,5.0,"['bột gạo', 'đậu xanh', 'tôm', 'thịt băm', 'rau sống']","['rice flour', 'mung beans', 'shrimp', 'minced pork', 'fresh vegetables']",Cái,Piece,Sóc Trăng,Soc Trang,1,0,1,2024-10-06 17:25:50,,[]
19,Bánh Da Lợn,Pork Skin Cake,0,55,4,0,150,1,Bánh da lợn nhiều tầng với hương thơm lá dứa và đậu xanh.,Layered cake with the aroma of pandan leaves and mung beans.,in stock,5.0,"['bột năng', 'lá dứa', 'đậu xanh', 'nước cốt dừa', 'đường']","['tapioca flour', 'pandan leaves', 'mung beans', 'coconut milk', 'sugar']",Miếng,Slice,Nam Bộ,Southern Vietnam,1,0,1,2024-10-06 17:25:50,,[]
20,Bánh Tai Heo,Pig Ear Cake,0,50,5,0,200,1,Bánh tai heo giòn tan với vị ngọt nhẹ và màu nâu từ cacao.,Crispy cake with a light sweetness and brown color from cocoa.,in stock,5.0,"['bột mì', 'đường', 'cacao', 'dầu ăn', 'muối']","['flour', 'sugar', 'cocoa', 'oil', 'salt']",Gói,Bag,Miền Trung,Central Vietnam,1,0,1,2024-10-06 17:25:50,,[]
21,Bánh Tiêu,Banh Tieu,0,32,4,0,150,1,"Bánh tiêu vàng giòn, vị ngọt nhẹ, thơm mùi mè rang.",Golden crispy Banh Tieu with a light sweet taste and fragrant sesame.,in stock,5.0,"['bột mì', 'đường', 'mè', 'men nở', 'dầu ăn']","['flour', 'sugar', 'sesame', 'yeast', 'cooking oil']",Cái,Piece,Miền Nam,Southern Vietnam,1,0,1,2024-10-06 17:25:50,,[]
22,Bánh Trung Thu,Moon Cake,0,100,15,120,400,3,"Bánh trung thu nhân thập cẩm hoặc đậu xanh, vị ngọt, ăn vào dịp Trung Thu.","Moon cake with mixed or mung bean filling, sweet taste, enjoyed during the Mid-Autumn Festival.",in stock,5.0,"['bột mì', 'trứng muối', 'đậu xanh', 'thịt heo', 'lạp xưởng', 'mỡ lợn', 'đường', 'hạt sen']","['flour', 'salted egg', 'mung beans', 'pork', 'Chinese sausage', 'lard', 'sugar', 'lotus seeds']",Cái,Piece,Toàn Quốc,Nationwide,1,0,1,2024-10-06 17:25:50,,[]
23,Bún Bò Huế,Hue Beef Noodles,0,60,25,80,1000,3,"Bún bò Huế đặc trưng với nước dùng cay nồng, thịt bò và giò heo.","Hue beef noodles with spicy broth, beef, and pork leg.",in stock,5.0,"['bún', 'thịt bò', 'giò heo', 'nước mắm', 'ớt', 'rau sống', 'sả', 'mắm ruốc']","['noodles', 'beef', 'pork leg', 'fish sauce', 'chili', 'fresh herbs', 'lemongrass', 'fermented shrimp paste']",Tô,Bowl,Huế,Hue,1,0,2,2024-10-06 17:25:50,,[]
24,Bún Đậu Mắm Tôm,Vermicelli with Fried Tofu and Fermented Shrimp Paste,0,55,20,70,800,4,"Bún đậu mắm tôm với bún tươi, đậu rán giòn, chả cốm và mắm tôm chua mặn.","Vermicelli with fresh noodles, crispy tofu, fried fish cake, and savory fermented shrimp paste.",in stock,5.0,"['bún', 'đậu hũ', 'chả cốm', 'mắm tôm', 'rau thơm', 'ớt', 'chanh']","['noodles', 'tofu', 'fried fish cake', 'fermented shrimp paste', 'herbs', 'chili', 'lime']",Suất,Serving,Hà Nội,Hanoi,1,0,2,2024-10-06 17:25:50,,[]
25,Bún Mắm,Fermented Fish Noodle Soup,0,60,25,90,1000,3,"Bún mắm đậm đà hương vị miền Tây với nước lèo từ mắm cá linh, tôm, mực và thịt heo quay.","Noodles with rich flavors from fermented fish sauce, shrimp, squid, and roasted pork.",in stock,5.0,"['bún', 'mắm cá linh', 'tôm', 'thịt heo quay', 'mực', 'rau sống']","['noodles', 'fermented fish sauce', 'shrimp', 'roasted pork', 'squid', 'fresh herbs']",Tô,Bowl,Miền Tây,Mekong Delta,1,0,2,2024-10-06 17:25:50,,[]
26,Bún Riêu,Crab Noodle Soup,0,55,20,60,900,3,"Bún riêu với nước lèo chua ngọt từ cà chua, riêu cua và đậu hũ chiên giòn.","Noodle soup with sweet and sour broth from tomatoes, crab paste, and crispy tofu.",in stock,5.0,"['bún', 'riêu cua', 'cà chua', 'đậu hũ', 'mắm tôm', 'rau thơm']","['noodles', 'crab paste', 'tomatoes', 'tofu', 'fermented shrimp paste', 'herbs']",Tô,Bowl,Miền Bắc,Northern Vietnam,1,0,2,2024-10-06 17:25:50,,[]
27,Bún Thịt Nướng,Grilled Pork Noodles,0,60,25,70,750,4,"Bún thịt nướng với thịt heo nướng thơm ngon, ăn kèm rau sống và nước mắm chua ngọt.","Noodles with delicious grilled pork, served with fresh herbs and sweet and sour fish sauce.",in stock,5.0,"['bún', 'thịt heo', 'rau sống', 'nước mắm', 'đậu phộng']","['noodles', 'pork', 'fresh herbs', 'fish sauce', 'peanuts']",Tô,Bowl,Miền Nam,Southern Vietnam,1,0,2,2024-10-06 17:25:50,,[]
28,Cá Kho Tộ,Braised Fish,0,25,35,90,800,2,"Cá kho tộ đậm đà với thịt cá béo ngậy, nấu trong nồi đất cùng nước mắm và tiêu.","Braised fish with rich flavors, cooked in clay pot with fish sauce and pepper.",in stock,5.0,"['cá lóc', 'nước mắm', 'tiêu', 'đường', 'hành', 'ớt']","['snakehead fish', 'fish sauce', 'pepper', 'sugar', 'onion', 'chili']",Phần,Serving,Miền Nam,Southern Vietnam,1,0,6,2024-10-06 17:25:50,,[]
29,Canh Chua,Sour Soup,0,15,15,30,500,2,"Canh chua thanh mát với cá, dọc mùng, giá đỗ và rau thơm.","Refreshing sour soup with fish, water dropwort, bean sprouts, and herbs.",in stock,5.0,"['cá', 'dọc mùng', 'giá đỗ', 'cà chua', 'rau thơm', 'nước me']","['fish', 'water dropwort', 'bean sprouts', 'tomatoes', 'herbs', 'tamarind water']",Tô,Bowl,Miền Nam,Southern Vietnam,1,0,6,2024-10-06 17:25:50,,[]
30,Cao Lầu,Cao Lau,0,60,20,40,700,3,"Cao lầu với sợi mì đặc trưng, thịt heo, rau sống và nước dùng ngọt thanh.","Cao Lau with characteristic noodles, pork, fresh herbs, and sweet broth.",in stock,5.0,"['mì', 'thịt heo', 'rau sống', 'nước dùng', 'đậu phộng']","['noodles', 'pork', 'fresh herbs', 'broth', 'peanuts']",Tô,Bowl,Hội An,Hoi An,1,0,2,2024-10-06 17:25:50,,[]
31,Cháo Lòng,Liver Porridge,0,35,15,80,750,2,"Cháo lòng nấu từ gạo trắng, lòng heo, và các loại gia vị đậm đà.","Porridge made from white rice, pig’s intestines, and flavorful spices.",in stock,5.0,"['gạo', 'lòng heo', 'hành', 'ngò rí', 'nước mắm']","['rice', 'pig intestines', 'onions', 'cilantro', 'fish sauce']",Tô,Bowl,Miền Bắc,Northern Vietnam,1,0,5,2024-10-06 17:25:50,,[]
32,Cơm Tấm,Broken Rice,0,70,30,70,800,4,"Cơm tấm đặc trưng với sườn nướng, bì, chả trứng và nước mắm chua ngọt.","Broken rice with grilled pork chops, pork skin, egg pie, and sweet and sour fish sauce.",in stock,5.0,"['cơm tấm', 'sườn nướng', 'bì', 'chả trứng', 'nước mắm', 'rau sống']","['broken rice', 'grilled pork', 'pork skin', 'egg pie', 'fish sauce', 'fresh herbs']",Đĩa,Plate,Miền Nam,Southern Vietnam,1,0,4,2024-10-06 17:25:50,,[]
33,Cơm Cháy,Crispy Rice,0,50,8,0,500,2,"Cơm cháy giòn rụm, thường được ăn kèm với mắm hành hoặc nước mắm chua ngọt.",Crispy rice often served with onion sauce or sweet and sour fish sauce.,in stock,5.0,"['gạo', 'hành phi', 'nước mắm', 'đường', 'ớt bột']","['rice', 'fried onions', 'fish sauce', 'sugar', 'chili powder']",Đĩa,Plate,Ninh Bình,Ninh Binh,1,0,6,2024-10-06 17:25:50,,[]
34,Gỏi Cuốn,Spring Rolls,0,20,10,35,400,2,"Gỏi cuốn tươi ngon với tôm, thịt heo, bún và rau sống, chấm cùng nước chấm chua ngọt.","Fresh spring rolls with shrimp, pork, rice noodles, and herbs, served with sweet and sour sauce.",in stock,5.0,"['bánh tráng', 'tôm', 'thịt heo', 'bún', 'rau sống', 'nước chấm']","['rice paper', 'shrimp', 'pork', 'rice noodles', 'fresh herbs', 'dipping sauce']",Cuốn,Roll,Miền Nam,Southern Vietnam,1,0,6,2024-10-06 17:25:50,,[]
35,Hủ Tiếu,Hu Tieu,0,60,20,50,900,2,"Hủ tiếu với nước dùng thanh, kèm thịt heo, tôm, và rau thơm.","Hu Tieu with clear broth, pork, shrimp, and herbs.",in stock,5.0,"['hủ tiếu', 'thịt heo', 'tôm', 'rau thơm', 'nước dùng']","['hu tieu noodles', 'pork', 'shrimp', 'herbs', 'broth']",Tô,Bowl,Miền Nam,Southern Vietnam,1,0,3,2024-10-06 17:25:50,,[]
36,Mì Quảng,Mi Quang,0,70,25,60,600,3,"Mì Quảng với sợi mì đặc trưng, tôm, thịt heo, trứng và đậu phộng.","Mi Quang with characteristic noodles, shrimp, pork, egg, and peanuts.",in stock,5.0,"['mì', 'tôm', 'thịt heo', 'trứng', 'đậu phộng', 'rau sống']","['noodles', 'shrimp', 'pork', 'egg', 'peanuts', 'fresh herbs']",Tô,Bowl,Miền Trung,Central Vietnam,1,0,3,2024-10-06 17:25:50,,[]
37,Nem Chua,Fermented Pork,0,10,15,40,700,0,"Nem chua có vị chua nhẹ, dai giòn, làm từ thịt heo và bì, ăn kèm với lá chuối.","Fermented pork with a light sour taste, chewy and crunchy, made from pork and skin, served with banana leaves.",in stock,5.0,"['thịt heo', 'bì heo', 'tỏi', 'đường', 'muối', 'lá chuối']","['pork', 'pork skin', 'garlic', 'sugar', 'salt', 'banana leaves']",Đĩa,Plate,Thanh Hóa,Thanh Hoa,1,0,6,2024-10-06 17:25:50,,[]
38,Nem Nướng,Grilled Pork Sausage,0,20,20,50,650,1,"Nem nướng thơm ngon, vàng giòn, được làm từ thịt heo băm nhuyễn và nướng trên than.","Delicious grilled pork sausage, crispy and golden, made from minced pork and grilled over charcoal.",in stock,5.0,"['thịt heo', 'mỡ lợn', 'hành', 'đường', 'tỏi', 'tiêu']","['pork', 'pork fat', 'onion', 'sugar', 'garlic', 'pepper']",Phần,Serving,Nha Trang,Nha Trang,1,0,6,2024-10-06 17:25:50,,[]
39,Phở,Pho,0,60,25,45,900,2,"Phở bò truyền thống với nước dùng trong, thịt bò mềm và bánh phở tươi.","Traditional beef pho with clear broth, tender beef, and fresh rice noodles.",in stock,5.0,"['bánh phở', 'thịt bò', 'hành', 'ngò', 'nước dùng', 'quế', 'hoa hồi']","['rice noodles', 'beef', 'onion', 'cilantro', 'broth', 'cinnamon', 'star anise']",Tô,Bowl,Hà Nội,Hanoi,1,0,7,2024-10-06 17:25:50,,[]
40,Xôi Xéo,Sticky Rice with Mung Beans,0,80,15,0,300,5,"Xôi xéo mềm dẻo với đậu xanh nghiền, hành phi và mỡ gà thơm ngậy.","Soft sticky rice with mashed mung beans, fried onions, and fragrant chicken fat.",in stock,5.0,"['gạo nếp', 'đậu xanh', 'hành phi', 'mỡ gà', 'muối']","['sticky rice', 'mung beans', 'fried onions', 'chicken fat', 'salt']",Gói,Bag,Hà Nội,Hanoi,1,0,7,2024-10-06 17:25:50,,[]
